,title,year,journal
4454,Private Transactions in Public Places - An Exploration of the Impact of the Computer Environment on Public Transactional Web Site Use,2006,Journal of the Association for Information Systems
4461,The long now of technology infrastructure: Articulating tensions in development,2009,Journal of the Association for Information Systems
4462,Flexibility Relative to What? Change to Research Infrastructure,2014,Journal of the Association for Information Systems
4465,"IT and Agility in the Social Enterprise - A Case Study of St Jude Children's Research Hospital's ""Cure4Kids"" IT-Platform for International Outreach",2014,Journal of the Association for Information Systems
4467,Internet Social Networking,2011,Business & Information Systems Engineering
4468,Some antecedents and effects of trust in virtual communities,2002,The Journal of Strategic Information Systems
4469,Online discussion group sustainability - Investigating the interplay between structural dynamics and social dynamics over time,2010,Journal of the Association for Information Systems
4471,On the biology of technostress - literature review and research agenda,2013,ACM SIGMIS Database
4472,"Towards a NeuroIS Research Methodology - Intensifying the Discussion on Methods, Tools, and Measurement",2014,Journal of the Association for Information Systems
4474,Why e-Service Development is Different: A Literature Review,2011,e-Service Journal
4481,Virtual or vague? a literature review exposing conceptual differences in defining virtual organizations in IS research,2012,Electronic Markets
4483,A Multichannel Model of Separating Equilibrium in the Face of the Digital Divide,2004,Journal of Management Information Systems
4484,The Digital Divide - Current and Future Research Directions,2005,Journal of the Association for Information Systems
4490,An Organizational Culture-Based Theory of Clinical Information Systems Implementation in Hospitals,2011,Journal of the Association for Information Systems
4491,Resource-based view and competitive strategy: An integrated model of the contribution of information technology to firm performance,2006,The Journal of Strategic Information Systems
4493,Individual Swift Trust and Knowledge-Based Trust in Face-to-Face and Virtual Team Members,2009,Journal of Management Information Systems
4497,The Effects of Information Technology Project Complexity on Group Interaction,2004,Journal of Management Information Systems
4499,Leveraging Information Technology Infrastructure to Facilitate a Firm's Customer Agility and Competitive Activity - An Empirical Investigation,2012,Journal of Management Information Systems
4501,"Identity, Legitimacy and the Dominant Research Paradigm - An Alternative Prescription for the IS Discipline - A Response to Benbasat and Zmud's Call for Returning to the IT Artifact",2003,Journal of the Association for Information Systems
4502,"Information Technology, Materiality, and Organizational Change - A Professional Odyssey",2013,Journal of the Association for Information Systems
4503,Theoretical foundations of empirical research on interorganizational systems: ASsessing past contributions and guiding future directions,2008,Journal of the Association for Information Systems
4504,Learning to Implement Enterprise Systems - An Exploratory Study of the Dialectics of Change,2002,Journal of Management Information Systems
4508,Exploring the Formation of a Healthcare Information Infrastructure - Hierarchy or Meshwork?,2015,Journal of the Association for Information Systems
4511,A Methodology for Analyzing Web-Based Qualitative Data,2003,Journal of Management Information Systems
4521,Health Information on the Internet,2013,Business & Information Systems Engineering
4523,Boundary Interactions and Motors of Change in Requirements Elicitation - A Dynamic Perspective on Knowledge Sharing,2014,Journal of the Association for Information Systems
4525,Blockchain Research in Information Systems - Current Trends and an Inclusive Future Research Agenda,2019,Journal of the Association for Information Systems
4526,Managing Evolutionary Method Engineering by Method Rationale,2004,Journal of the Association for Information Systems
4527,Accumulating Design Knowledge - A Mechanisms-Based Approach,2020,Journal of the Association for Information Systems
4529,PUZZLE: a concept and prototype for linking business intelligence to business strategy,2002,The Journal of Strategic Information Systems
4530,Combining Information Seeking Services into a Meta Supply Chain of Facts,2008,Journal of the Association for Information Systems
4547,Information-Technology Investment Decisions - When Do Costs and Benefits in the Social Subsystem Matter?,2002,Journal of Management Information Systems
4562,The Relationship of E-Commerce Competence to Customer Value and Firm Performance - An Empirical Investigation,2005,Journal of Management Information Systems
4563,Toward an Integrative Framework for Online Consumer Behavior Research,2003,Journal of Organizational and End User Computing
4567,Beyond Utopian and Nostalgic Views of Information Technology and Education - Implications for Research and Practice,2004,Journal of the Association for Information Systems
